From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Pathway	Intramembrane	Subcellular location [CC]	Topological domain	Transmembrane
WP_001808836.1	A0A098Z6X1	unreviewed	A0A098Z6X1_STREE	Large ribosomal subunit protein bL36	rpmJ A4258_06980 A5N45_00230 AZJ28_00505 AZJ70_00580 AZK02_06315 AZK21_00820 ERS019166_00069 ERS019171_00286 ERS019209_00099 ERS019349_00227 ERS019507_00401 ERS019687_00236 ERS020302_00150 ERS020474_00912 ERS020780_00259 ERS020835_00095 ERS020873_00053 ERS021218_00072 ERS021466_01311 ERS022613_00147 ERS096071_01279 ERS409000_00139 GM527_00200 GM529_00755 GM532_00730 GM536_01660 GM537_00655 GM538_01545 GM539_07050 GM540_02765 GM543_00690 GM544_01440 GM545_00665 GM546_00230 GM547_00485 SAMEA104035649_01511 SAMEA104154639_01316 SAMEA2627268_00892 SAMEA2696394_00619 SAMEA2783718_00585 SAMEA2814217_00760 SAMEA2814316_00133 SAMEA3171064_00342 SAMEA3207200_00288 SAMEA3353631_01152 SAMEA3381574_00740 SAMEA3389245_01466 SAMEA3389353_01083 SAMEA3390019_00194 SAMEA3714416_00392 SAMEA4038883_01817	Streptococcus pneumoniae	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A0F3HB43	unreviewed	A0A0F3HB43_STRPA	Large ribosomal subunit protein bL36	rpmJ CYK20_08280 D8866_07915 DF218_09020 DW666_09240 DW728_09150 DW820_09685 GMC73_07235 GMC75_07610 GMC80_05585 GMC92_06030 GMC94_08475 GMC95_06040	Streptococcus parasanguinis	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1Q8EBS6	unreviewed	A0A1Q8EBS6_STRAI	Large ribosomal subunit protein bL36	rpmJ BU200_08240 E4U01_05635 NCTC12957_00512	Streptococcus acidominimus	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A2I1UUY7	unreviewed	A0A2I1UUY7_STRAP	Large ribosomal subunit protein bL36	rpmJ C6A25_03510 C6A27_01655 C6A33_05475 D1J72_07515 DWX18_06160 DXA16_04470 DXB55_07420 F6I09_01740 NCTC10707_01748 NCTC10713_01699 NCTC11062_01785	Streptococcus anginosus	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1L7MX80	unreviewed	A0A1L7MX80_STRIT	Large ribosomal subunit protein bL36	rpmJ D8829_08325 D8831_07145	Streptococcus intermedius	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A269YVI5	unreviewed	A0A269YVI5_9LACT	Large ribosomal subunit protein bL36	rpmJ B8W94_06150 BW154_11540 D6120_11115 E5555_06885 EO246_07685 FNJ53_08495 GFV15_10160 GJ670_11380 GTP06_14245 GTP08_07610 HZ322_10620 I6G22_07385 KH106_04260 OGZ38_07725 OGZ39_07750 OGZ41_06545 OGZ51_06345	Lactococcus lactis	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	P0A494	reviewed	RL36_LACLC	Large ribosomal subunit protein bL36 (50S ribosomal protein L36)	rpmJ	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A6D1TIA9	unreviewed	A0A6D1TIA9_LACLC	Large ribosomal subunit protein bL36	rpmJ GJI91_10070 LLJM3_03390	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A0A7T2G6	unreviewed	A0A0A7T2G6_LACLL	Large ribosomal subunit protein bL36	rpmJ JCM5805K_0235 LL14B4_11610 LMG9449_2755 M20_0028	Lactococcus lactis subsp. lactis (Streptococcus lactis)	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1Q8E5M4	unreviewed	A0A1Q8E5M4_9STRE	Large ribosomal subunit protein bL36	rpmJ BU202_09680 E4T82_10445	Streptococcus cuniculi	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A387AY47	unreviewed	A0A387AY47_9STRE	Large ribosomal subunit protein bL36	rpmJ D7D53_00060	Streptococcus gwangjuense	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1X1IYL8	unreviewed	A0A1X1IYL8_STROR	Large ribosomal subunit protein bL36	rpmJ B7705_05580 B7707_03565 B7708_06090 B7709_04585 CK799_04370 CYK16_02370 D8805_03490	Streptococcus oralis subsp. dentisani	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A4Q8L287	unreviewed	A0A4Q8L287_9STRE	Large ribosomal subunit protein bL36	rpmJ EXW74_03895	Streptococcus parasuis	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1V2SL30	unreviewed	A0A1V2SL30_9STRE	Large ribosomal subunit protein bL36	rpmJ BVE84_09795	Streptococcus azizii	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1S1GZ97	unreviewed	A0A1S1GZ97_9STRE	Large ribosomal subunit protein bL36	rpmJ HMPREF3237_01770	Streptococcus sp. HMSC34B10	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	P0A495	reviewed	RL36_STRPN	Large ribosomal subunit protein bL36 (50S ribosomal protein L36)	rpmJ SP_0233	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A2J9X6G1	unreviewed	A0A2J9X6G1_9STRE	Large ribosomal subunit protein bL36	rpmJ AL506_004775	Streptococcus sp. FDAARGOS_146	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	P0A496	reviewed	RL36_STRR6	Large ribosomal subunit protein bL36 (50S ribosomal protein L36)	rpmJ spr0212	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1F0BS89	unreviewed	A0A1F0BS89_9STRE	Large ribosomal subunit protein bL36	rpmJ HMPREF2613_08615	Streptococcus sp. HMSC070B10	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1F0BJ54	unreviewed	A0A1F0BJ54_9STRE	Large ribosomal subunit protein bL36	rpmJ HMPREF2619_02860	Streptococcus sp. HMSC074B11	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1S1CZQ1	unreviewed	A0A1S1CZQ1_9STRE	Large ribosomal subunit protein bL36	rpmJ HMPREF2628_00755	Streptococcus sp. HMSC063B03	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1F0B3P0	unreviewed	A0A1F0B3P0_9STRE	Large ribosomal subunit protein bL36	rpmJ HMPREF2701_05735	Streptococcus sp. HMSC077D04	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1F0A2P4	unreviewed	A0A1F0A2P4_9STRE	Large ribosomal subunit protein bL36	rpmJ HMPREF2728_00355	Streptococcus sp. HMSC061D10	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1E9GFE1	unreviewed	A0A1E9GFE1_9STRE	Large ribosomal subunit protein bL36	rpmJ HMPREF2764_07805	Streptococcus sp. HMSC073F11	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1E9G3N7	unreviewed	A0A1E9G3N7_9STRE	Large ribosomal subunit protein bL36	rpmJ HMPREF2766_08625	Streptococcus sp. HMSC076C08	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1E9B485	unreviewed	A0A1E9B485_9STRE	Large ribosomal subunit protein bL36	rpmJ HMPREF2795_05395	Streptococcus sp. HMSC056C01	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1E9A9F3	unreviewed	A0A1E9A9F3_9STRE	Large ribosomal subunit protein bL36	rpmJ HMPREF2805_00570	Streptococcus sp. HMSC034E03	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1E8U0B9	unreviewed	A0A1E8U0B9_9STRE	Large ribosomal subunit protein bL36	rpmJ HMPREF2837_01235	Streptococcus sp. HMSC071D03	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1F0TA11	unreviewed	A0A1F0TA11_9STRE	Large ribosomal subunit protein bL36	rpmJ HMPREF2957_04890	Streptococcus sp. HMSC062D07	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1F0NIB2	unreviewed	A0A1F0NIB2_9STRE	Large ribosomal subunit protein bL36	rpmJ HMPREF2987_01275	Streptococcus sp. HMSC067H01	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A3R9N9U1	unreviewed	A0A3R9N9U1_9STRE	Large ribosomal subunit protein bL36	rpmJ D8783_09050	Streptococcus sp. A12	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A139NFF2	unreviewed	A0A139NFF2_9STRE	Large ribosomal subunit protein bL36	rpmJ STRDD10_00721	Streptococcus sp. DD10	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1H0SC76	unreviewed	A0A1H0SC76_9STRE	Large ribosomal subunit protein bL36	rpmJ SAMN05216494_1124	Streptococcus sp. NLAE-zl-C503	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A178K3N5	unreviewed	A0A178K3N5_9STRE	Large ribosomal subunit protein bL36	rpmJ A3Q39_04725	Streptococcus sp. CCUG 49591	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A0F2CVM6	unreviewed	A0A0F2CVM6_STROR	Large ribosomal subunit protein bL36	rpmJ B7710_07505 B7712_09195 B7714_03290 B7715_05300 B7716_04515 B7717_04655 B7718_04670 B7720_03555 B7721_02335 B7722_05040 HRE59_03025 HRJ32_07875 HRJ33_06430 TZ87_01411 TZ92_00136	Streptococcus oralis subsp. oralis	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A1E1GCV2	unreviewed	A0A1E1GCV2_9STRE	Large ribosomal subunit protein bL36	rpmJ SNAG_1685	Streptococcus sp. NPS 308	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A7X6MW54	unreviewed	A0A7X6MW54_9STRE	Large ribosomal subunit protein bL36	rpmJ HF992_01360	Streptococcus ovuberis	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A6I6WG25	unreviewed	A0A6I6WG25_9STRE	Large ribosomal subunit protein bL36	rpmJ BZG42_00565	Streptococcus sp. DAT741	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A2J9EW94	unreviewed	A0A2J9EW94_9STRE	Large ribosomal subunit protein bL36	rpmJ A6J84_006730	Streptococcus sp. FDAARGOS_256	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A231W1U0	unreviewed	A0A231W1U0_9STRE	Large ribosomal subunit protein bL36	rpmJ CBI42_03330	Streptococcus sp. KR	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A5M9QA14	unreviewed	A0A5M9QA14_LACLH	Large ribosomal subunit protein bL36	rpmJ F4V48_01815	Lactococcus lactis subsp. hordniae	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A2N6PRZ2	unreviewed	A0A2N6PRZ2_9STRE	Large ribosomal subunit protein bL36	rpmJ CJ239_01915	Streptococcus sp. UMB0029	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A3R8LSI2	unreviewed	A0A3R8LSI2_9STRE	Large ribosomal subunit protein bL36	rpmJ DB729_002470	Streptococcus halitosis	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A371QE74	unreviewed	A0A371QE74_9STRE	Large ribosomal subunit protein bL36	rpmJ DXN33_04860	Streptococcus sp. NM	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A3A5S8N1	unreviewed	A0A3A5S8N1_9STRE	Large ribosomal subunit protein bL36	rpmJ DW738_09105	Streptococcus sp. AM28-20	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A3A5Q0B5	unreviewed	A0A3A5Q0B5_9STRE	Large ribosomal subunit protein bL36	rpmJ DW930_07425	Streptococcus sp. AM43-2AT	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A3P1V999	unreviewed	A0A3P1V999_9STRE	Large ribosomal subunit protein bL36	rpmJ EII38_08850	Streptococcus minor	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A4R0QE92	unreviewed	A0A4R0QE92_9STRE	Large ribosomal subunit protein bL36	rpmJ D3X11_07525	Streptococcus sp. X16XC17	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A4Q5BV36	unreviewed	A0A4Q5BV36_9STRE	Large ribosomal subunit protein bL36	rpmJ EAI95_08830	Streptococcus sp. bf_0095	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A3S9MTC9	unreviewed	A0A3S9MTC9_9STRE	Large ribosomal subunit protein bL36	rpmJ EHW89_08310	Streptococcus periodonticum	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A3P1VKX4	unreviewed	A0A3P1VKX4_9STRE	Large ribosomal subunit protein bL36	rpmJ EII37_02935	Streptococcus sp. OH4692_COT-348	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_001808836.1	A0A4Y9JHT8	unreviewed	A0A4Y9JHT8_9STRE	Large ribosomal subunit protein bL36	rpmJ E4T79_07755	Streptococcus sp. LYSM12	38	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
